id,date,category,subcategory,description,amount,department,vendor,cost_center,approved_by,status,created_at
3144,2023-07-04,General & Admin,IT & Communications,IT & Communications - Microsoft,477291.7,Corporate Services,Microsoft,CC-COR-810,Director Procurement,Paid,2023-07-04 10:15:00
3145,2023-07-04,General & Admin,Utilities & Facilities,Utilities & Facilities - JLL,360062.16,Corporate Services,JLL,CC-COR-810,Director Procurement,Approved,2023-07-04 10:15:00
3146,2023-07-05,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,4511430.7,Flight Operations,Chevron Aviation,CC-FLT-110,Chief Pilot,Approved,2023-07-05 16:20:00
3147,2023-07-05,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,7747798.43,Flight Operations,World Fuel Services,CC-FLT-110,Chief Pilot,Paid,2023-07-05 12:30:00
3148,2023-07-05,Fuel,Into-Plane Services,Into-Plane Services - Swissport Fueling,1671713.06,Flight Operations,Swissport Fueling,CC-FLT-110,VP Flight Ops,Paid,2023-07-05 14:45:00
3149,2023-07-05,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,6727220.95,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Paid,2023-07-05 16:20:00
3150,2023-07-05,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,6022355.39,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Approved,2023-07-05 16:20:00
3151,2023-07-05,Maintenance,Line Maintenance,Line Maintenance - AAR Corp,2329710.26,Maintenance & Engineering,AAR Corp,CC-MNT-310,VP Maintenance,Approved,2023-07-05 14:45:00
3152,2023-07-05,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - Pratt & Whitney Services,1687031.57,Maintenance & Engineering,Pratt & Whitney Services,CC-MNT-310,VP Maintenance,Approved,2023-07-05 10:15:00
3153,2023-07-05,Airport Operations,Landing Fees,Landing Fees - Dallas/Fort Worth DFW,2287437.29,Airport Operations,Dallas/Fort Worth DFW,CC-AIR-410,Director Stations,Approved,2023-07-05 10:15:00
3154,2023-07-05,Airport Operations,Ground Handling,Ground Handling - dnata,889558.95,Airport Operations,dnata,CC-AIR-410,VP Airports,Paid,2023-07-05 14:45:00
3155,2023-07-05,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - SMBC Aviation Capital,3635550.41,Fleet Management,SMBC Aviation Capital,CC-FLT-120,VP Fleet,Approved,2023-07-05 10:15:00
3156,2023-07-05,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Sabre Travel Network,1077601.7,Commercial & Marketing,Sabre Travel Network,CC-COM-510,Chief Commercial Officer,Approved,2023-07-05 10:15:00
3157,2023-07-05,Sales & Distribution,Credit Card Processing,Credit Card Processing - American Express Merchant,660465.56,Commercial & Marketing,American Express Merchant,CC-COM-510,Director Revenue Mgmt,Approved,2023-07-05 12:30:00
3158,2023-07-05,In-flight Services,Catering,Catering - LSG Sky Chefs,1332805.45,Customer Experience,LSG Sky Chefs,CC-CAB-610,Cabin Services Director,Paid,2023-07-05 12:30:00
3159,2023-07-05,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - Marsh Aviation,816319.51,Finance & Accounting,Marsh Aviation,CC-FIN-710,CFO,Approved,2023-07-05 16:20:00
3160,2023-07-05,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,2195760.8,Finance & Accounting,Fixed Asset Register,CC-FIN-720,CFO,Approved,2023-07-05 14:45:00
3161,2023-07-05,General & Admin,IT & Communications,IT & Communications - AT&T Business,433629.4,Corporate Services,AT&T Business,CC-COR-810,Director Procurement,Approved,2023-07-05 12:30:00
3162,2023-07-05,General & Admin,Utilities & Facilities,Utilities & Facilities - ConEdison,327123.94,Corporate Services,ConEdison,CC-COR-810,VP Corporate Services,Pending,2023-07-05 12:30:00
3163,2023-07-06,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,11237561.15,Flight Operations,Chevron Aviation,CC-FLT-110,Chief Pilot,Approved,2023-07-06 12:30:00
3164,2023-07-06,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,1426500.24,Flight Operations,World Fuel Services,CC-FLT-110,VP Flight Ops,Paid,2023-07-06 16:20:00
3165,2023-07-06,Fuel,Into-Plane Services,Into-Plane Services - Swissport Fueling,1726917.46,Flight Operations,Swissport Fueling,CC-FLT-110,VP Flight Ops,Approved,2023-07-06 10:15:00
3166,2023-07-06,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,6511575.61,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Approved,2023-07-06 10:15:00
3167,2023-07-06,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,5851016.03,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Approved,2023-07-06 10:15:00
3168,2023-07-06,Maintenance,Line Maintenance,Line Maintenance - Lufthansa Technik,2135708.88,Maintenance & Engineering,Lufthansa Technik,CC-MNT-310,VP Maintenance,Paid,2023-07-06 14:45:00
3169,2023-07-06,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - Rolls-Royce TotalCare,1546547.81,Maintenance & Engineering,Rolls-Royce TotalCare,CC-MNT-310,VP Maintenance,Paid,2023-07-06 10:15:00
3170,2023-07-06,Airport Operations,Landing Fees,Landing Fees - Chicago ORD,2176824.69,Airport Operations,Chicago ORD,CC-AIR-410,VP Airports,Paid,2023-07-06 16:20:00
3171,2023-07-06,Airport Operations,Ground Handling,Ground Handling - Swissport,846542.93,Airport Operations,Swissport,CC-AIR-410,Director Stations,Paid,2023-07-06 14:45:00
3172,2023-07-06,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - Avolon,3357430.96,Fleet Management,Avolon,CC-FLT-120,VP Fleet,Approved,2023-07-06 16:20:00
3173,2023-07-06,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Travelport,1066494.63,Commercial & Marketing,Travelport,CC-COM-510,Director Revenue Mgmt,Pending,2023-07-06 14:45:00
3174,2023-07-06,Sales & Distribution,Credit Card Processing,Credit Card Processing - Visa Merchant Services,653658.0,Commercial & Marketing,Visa Merchant Services,CC-COM-510,Chief Commercial Officer,Approved,2023-07-06 14:45:00
3175,2023-07-06,In-flight Services,Catering,Catering - dnata Catering,1185970.62,Customer Experience,dnata Catering,CC-CAB-610,Cabin Services Director,Approved,2023-07-06 12:30:00
3176,2023-07-06,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - Allianz Global Corporate & Specialty,822569.24,Finance & Accounting,Allianz Global Corporate & Specialty,CC-FIN-710,CFO,Approved,2023-07-06 16:20:00
3177,2023-07-06,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,2116870.48,Finance & Accounting,Fixed Asset Register,CC-FIN-720,CFO,Approved,2023-07-06 12:30:00
3178,2023-07-06,General & Admin,IT & Communications,IT & Communications - SITA,537396.25,Corporate Services,SITA,CC-COR-810,Director Procurement,Paid,2023-07-06 10:15:00
3179,2023-07-06,General & Admin,Utilities & Facilities,Utilities & Facilities - CBRE,405404.18,Corporate Services,CBRE,CC-COR-810,Director Procurement,Paid,2023-07-06 12:30:00
3180,2023-07-07,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,12201552.64,Flight Operations,Chevron Aviation,CC-FLT-110,VP Flight Ops,Paid,2023-07-07 12:30:00
3181,2023-07-07,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,1569978.23,Flight Operations,World Fuel Services,CC-FLT-110,VP Flight Ops,Approved,2023-07-07 14:45:00
3182,2023-07-07,Fuel,Into-Plane Services,Into-Plane Services - Swissport Fueling,1877936.03,Flight Operations,Swissport Fueling,CC-FLT-110,Chief Pilot,Approved,2023-07-07 14:45:00
3183,2023-07-07,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,7454590.82,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Approved,2023-07-07 12:30:00
3184,2023-07-07,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,6649640.88,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Paid,2023-07-07 12:30:00
3185,2023-07-07,Maintenance,Line Maintenance,Line Maintenance - Delta TechOps,2574370.8,Maintenance & Engineering,Delta TechOps,CC-MNT-310,Director Engineering,Paid,2023-07-07 16:20:00
3186,2023-07-07,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - Rolls-Royce TotalCare,1864199.54,Maintenance & Engineering,Rolls-Royce TotalCare,CC-MNT-310,Director Engineering,Approved,2023-07-07 14:45:00
3187,2023-07-07,Airport Operations,Landing Fees,Landing Fees - Chicago ORD,2511178.21,Airport Operations,Chicago ORD,CC-AIR-410,Director Stations,Approved,2023-07-07 14:45:00
3188,2023-07-07,Airport Operations,Ground Handling,Ground Handling - Menzies Aviation,976569.3,Airport Operations,Menzies Aviation,CC-AIR-410,Director Stations,Paid,2023-07-07 14:45:00
3189,2023-07-07,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - Avolon,3735867.49,Fleet Management,Avolon,CC-FLT-120,Treasury Director,Approved,2023-07-07 16:20:00
3190,2023-07-07,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Sabre Travel Network,1092126.5,Commercial & Marketing,Sabre Travel Network,CC-COM-510,Chief Commercial Officer,Paid,2023-07-07 16:20:00
3191,2023-07-07,Sales & Distribution,Credit Card Processing,Credit Card Processing - American Express Merchant,669367.85,Commercial & Marketing,American Express Merchant,CC-COM-510,Director Revenue Mgmt,Approved,2023-07-07 12:30:00
3192,2023-07-07,In-flight Services,Catering,Catering - Gate Gourmet,1565863.49,Customer Experience,Gate Gourmet,CC-CAB-610,Cabin Services Director,Approved,2023-07-07 12:30:00
3193,2023-07-07,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - AIG Aviation,872269.16,Finance & Accounting,AIG Aviation,CC-FIN-710,Controller,Approved,2023-07-07 14:45:00
3194,2023-07-07,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,2427247.49,Finance & Accounting,Fixed Asset Register,CC-FIN-720,Controller,Approved,2023-07-07 16:20:00
3195,2023-07-07,General & Admin,IT & Communications,IT & Communications - Microsoft,480934.48,Corporate Services,Microsoft,CC-COR-810,Director Procurement,Approved,2023-07-07 12:30:00
3196,2023-07-07,General & Admin,Utilities & Facilities,Utilities & Facilities - JLL,362810.23,Corporate Services,JLL,CC-COR-810,Director Procurement,Paid,2023-07-07 10:15:00
3197,2023-07-08,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,3973215.0,Flight Operations,Chevron Aviation,CC-FLT-110,VP Flight Ops,Approved,2023-07-08 14:45:00
3198,2023-07-08,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,8979935.87,Flight Operations,World Fuel Services,CC-FLT-110,Chief Pilot,Pending,2023-07-08 16:20:00
3199,2023-07-08,Fuel,Into-Plane Services,Into-Plane Services - Menzies Aviation,1766338.76,Flight Operations,Menzies Aviation,CC-FLT-110,Chief Pilot,Paid,2023-07-08 16:20:00
3200,2023-07-08,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,7268884.01,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Pending,2023-07-08 16:20:00
3201,2023-07-08,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,6461083.13,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Approved,2023-07-08 14:45:00
3202,2023-07-08,Maintenance,Line Maintenance,Line Maintenance - Delta TechOps,2274540.29,Maintenance & Engineering,Delta TechOps,CC-MNT-310,Director Engineering,Approved,2023-07-08 14:45:00
3203,2023-07-08,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - Pratt & Whitney Services,1647080.9,Maintenance & Engineering,Pratt & Whitney Services,CC-MNT-310,Director Engineering,Approved,2023-07-08 10:15:00
3204,2023-07-08,Airport Operations,Landing Fees,Landing Fees - Los Angeles LAX,2390229.89,Airport Operations,Los Angeles LAX,CC-AIR-410,Director Stations,Paid,2023-07-08 12:30:00
3205,2023-07-08,Airport Operations,Ground Handling,Ground Handling - dnata,929533.84,Airport Operations,dnata,CC-AIR-410,Director Stations,Approved,2023-07-08 10:15:00
3206,2023-07-08,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - Avolon,3852337.63,Fleet Management,Avolon,CC-FLT-120,VP Fleet,Approved,2023-07-08 14:45:00
3207,2023-07-08,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Travelport,1185849.18,Commercial & Marketing,Travelport,CC-COM-510,Director Revenue Mgmt,Paid,2023-07-08 12:30:00
3208,2023-07-08,Sales & Distribution,Credit Card Processing,Credit Card Processing - American Express Merchant,726810.79,Commercial & Marketing,American Express Merchant,CC-COM-510,Director Revenue Mgmt,Pending,2023-07-08 14:45:00
3209,2023-07-08,In-flight Services,Catering,Catering - Gate Gourmet,1364661.35,Customer Experience,Gate Gourmet,CC-CAB-610,VP Customer Experience,Approved,2023-07-08 16:20:00
3210,2023-07-08,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - AIG Aviation,798612.99,Finance & Accounting,AIG Aviation,CC-FIN-710,Controller,Approved,2023-07-08 12:30:00
3211,2023-07-08,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,2285309.33,Finance & Accounting,Fixed Asset Register,CC-FIN-720,Controller,Approved,2023-07-08 10:15:00
3212,2023-07-08,General & Admin,IT & Communications,IT & Communications - SITA,539789.61,Corporate Services,SITA,CC-COR-810,VP Corporate Services,Paid,2023-07-08 16:20:00
3213,2023-07-08,General & Admin,Utilities & Facilities,Utilities & Facilities - CBRE,407209.71,Corporate Services,CBRE,CC-COR-810,Director Procurement,Paid,2023-07-08 10:15:00
3214,2023-07-09,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,7314821.19,Flight Operations,Chevron Aviation,CC-FLT-110,Chief Pilot,Approved,2023-07-09 16:20:00
3215,2023-07-09,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,7471419.37,Flight Operations,World Fuel Services,CC-FLT-110,VP Flight Ops,Pending,2023-07-09 14:45:00
3216,2023-07-09,Fuel,Into-Plane Services,Into-Plane Services - Signature Aviation,2016305.53,Flight Operations,Signature Aviation,CC-FLT-110,Chief Pilot,Approved,2023-07-09 14:45:00
3217,2023-07-09,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,7909689.83,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Approved,2023-07-09 10:15:00
3218,2023-07-09,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,6311316.31,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Approved,2023-07-09 16:20:00
3219,2023-07-09,Maintenance,Line Maintenance,Line Maintenance - Lufthansa Technik,2672036.17,Maintenance & Engineering,Lufthansa Technik,CC-MNT-310,VP Maintenance,Paid,2023-07-09 16:20:00
3220,2023-07-09,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - GE Aerospace Services,1934922.75,Maintenance & Engineering,GE Aerospace Services,CC-MNT-310,Director Engineering,Approved,2023-07-09 12:30:00
3221,2023-07-09,Airport Operations,Landing Fees,Landing Fees - Los Angeles LAX,2830252.04,Airport Operations,Los Angeles LAX,CC-AIR-410,VP Airports,Approved,2023-07-09 14:45:00
3222,2023-07-09,Airport Operations,Ground Handling,Ground Handling - Menzies Aviation,1100653.57,Airport Operations,Menzies Aviation,CC-AIR-410,Director Stations,Paid,2023-07-09 16:20:00
3223,2023-07-09,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - SMBC Aviation Capital,4055243.07,Fleet Management,SMBC Aviation Capital,CC-FLT-120,Treasury Director,Approved,2023-07-09 16:20:00
3224,2023-07-09,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Amadeus,1361985.0,Commercial & Marketing,Amadeus,CC-COM-510,Chief Commercial Officer,Approved,2023-07-09 16:20:00
3225,2023-07-09,Sales & Distribution,Credit Card Processing,Credit Card Processing - American Express Merchant,834765.0,Commercial & Marketing,American Express Merchant,CC-COM-510,Director Revenue Mgmt,Paid,2023-07-09 14:45:00
3226,2023-07-09,In-flight Services,Catering,Catering - dnata Catering,1500587.53,Customer Experience,dnata Catering,CC-CAB-610,Cabin Services Director,Paid,2023-07-09 12:30:00
3227,2023-07-09,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - Marsh Aviation,972026.57,Finance & Accounting,Marsh Aviation,CC-FIN-710,Controller,Paid,2023-07-09 12:30:00
3228,2023-07-09,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,2592828.98,Finance & Accounting,Fixed Asset Register,CC-FIN-720,CFO,Approved,2023-07-09 12:30:00
3229,2023-07-09,General & Admin,IT & Communications,IT & Communications - Microsoft,544607.81,Corporate Services,Microsoft,CC-COR-810,VP Corporate Services,Approved,2023-07-09 10:15:00
3230,2023-07-09,General & Admin,Utilities & Facilities,Utilities & Facilities - JLL,410844.49,Corporate Services,JLL,CC-COR-810,Director Procurement,Pending,2023-07-09 14:45:00
3231,2023-07-10,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,11770438.66,Flight Operations,Chevron Aviation,CC-FLT-110,Chief Pilot,Pending,2023-07-10 12:30:00
3232,2023-07-10,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,2273208.49,Flight Operations,World Fuel Services,CC-FLT-110,VP Flight Ops,Approved,2023-07-10 16:20:00
3233,2023-07-10,Fuel,Into-Plane Services,Into-Plane Services - Swissport Fueling,1915042.79,Flight Operations,Swissport Fueling,CC-FLT-110,VP Flight Ops,Pending,2023-07-10 12:30:00
3234,2023-07-10,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,7357516.02,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Approved,2023-07-10 16:20:00
3235,2023-07-10,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,6337365.74,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Approved,2023-07-10 12:30:00
3236,2023-07-10,Maintenance,Line Maintenance,Line Maintenance - Delta TechOps,2560258.01,Maintenance & Engineering,Delta TechOps,CC-MNT-310,VP Maintenance,Approved,2023-07-10 16:20:00
3237,2023-07-10,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - Pratt & Whitney Services,1853979.94,Maintenance & Engineering,Pratt & Whitney Services,CC-MNT-310,VP Maintenance,Paid,2023-07-10 10:15:00
3238,2023-07-10,Airport Operations,Landing Fees,Landing Fees - Atlanta ATL,2568435.08,Airport Operations,Atlanta ATL,CC-AIR-410,VP Airports,Approved,2023-07-10 10:15:00
3239,2023-07-10,Airport Operations,Ground Handling,Ground Handling - Swissport,998835.86,Airport Operations,Swissport,CC-AIR-410,VP Airports,Approved,2023-07-10 16:20:00
3240,2023-07-10,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - SMBC Aviation Capital,4067011.39,Fleet Management,SMBC Aviation Capital,CC-FLT-120,Treasury Director,Paid,2023-07-10 14:45:00
3241,2023-07-10,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Sabre Travel Network,1134807.69,Commercial & Marketing,Sabre Travel Network,CC-COM-510,Chief Commercial Officer,Approved,2023-07-10 10:15:00
3242,2023-07-10,Sales & Distribution,Credit Card Processing,Credit Card Processing - Mastercard Merchant Services,695527.3,Commercial & Marketing,Mastercard Merchant Services,CC-COM-510,Director Revenue Mgmt,Approved,2023-07-10 10:15:00
3243,2023-07-10,In-flight Services,Catering,Catering - Gate Gourmet,1562668.18,Customer Experience,Gate Gourmet,CC-CAB-610,VP Customer Experience,Approved,2023-07-10 16:20:00
3244,2023-07-10,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - Allianz Global Corporate & Specialty,880977.59,Finance & Accounting,Allianz Global Corporate & Specialty,CC-FIN-710,CFO,Approved,2023-07-10 14:45:00
3245,2023-07-10,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,2329759.66,Finance & Accounting,Fixed Asset Register,CC-FIN-720,Controller,Approved,2023-07-10 14:45:00
3246,2023-07-10,General & Admin,IT & Communications,IT & Communications - SITA,608003.95,Corporate Services,SITA,CC-COR-810,VP Corporate Services,Paid,2023-07-10 16:20:00
3247,2023-07-10,General & Admin,Utilities & Facilities,Utilities & Facilities - CBRE,458669.64,Corporate Services,CBRE,CC-COR-810,VP Corporate Services,Pending,2023-07-10 14:45:00
3248,2023-07-11,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,3756672.84,Flight Operations,Chevron Aviation,CC-FLT-110,Chief Pilot,Approved,2023-07-11 12:30:00
3249,2023-07-11,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,8424010.43,Flight Operations,World Fuel Services,CC-FLT-110,VP Flight Ops,Approved,2023-07-11 12:30:00
3250,2023-07-11,Fuel,Into-Plane Services,Into-Plane Services - Signature Aviation,1661002.26,Flight Operations,Signature Aviation,CC-FLT-110,VP Flight Ops,Approved,2023-07-11 16:20:00
3251,2023-07-11,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,6362341.32,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Paid,2023-07-11 12:30:00
3252,2023-07-11,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,6041910.19,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Paid,2023-07-11 12:30:00
3253,2023-07-11,Maintenance,Line Maintenance,Line Maintenance - Delta TechOps,2219165.86,Maintenance & Engineering,Delta TechOps,CC-MNT-310,VP Maintenance,Approved,2023-07-11 12:30:00
3254,2023-07-11,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - Rolls-Royce TotalCare,1606982.18,Maintenance & Engineering,Rolls-Royce TotalCare,CC-MNT-310,VP Maintenance,Approved,2023-07-11 10:15:00
3255,2023-07-11,Airport Operations,Landing Fees,Landing Fees - Dallas/Fort Worth DFW,2340933.91,Airport Operations,Dallas/Fort Worth DFW,CC-AIR-410,VP Airports,Approved,2023-07-11 14:45:00
3256,2023-07-11,Airport Operations,Ground Handling,Ground Handling - Menzies Aviation,910363.19,Airport Operations,Menzies Aviation,CC-AIR-410,Director Stations,Pending,2023-07-11 14:45:00
3257,2023-07-11,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - SMBC Aviation Capital,3602834.31,Fleet Management,SMBC Aviation Capital,CC-FLT-120,Treasury Director,Approved,2023-07-11 10:15:00
3258,2023-07-11,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Sabre Travel Network,1214775.39,Commercial & Marketing,Sabre Travel Network,CC-COM-510,Chief Commercial Officer,Paid,2023-07-11 10:15:00
3259,2023-07-11,Sales & Distribution,Credit Card Processing,Credit Card Processing - Mastercard Merchant Services,744539.76,Commercial & Marketing,Mastercard Merchant Services,CC-COM-510,Chief Commercial Officer,Pending,2023-07-11 10:15:00
3260,2023-07-11,In-flight Services,Catering,Catering - dnata Catering,1370124.88,Customer Experience,dnata Catering,CC-CAB-610,Cabin Services Director,Paid,2023-07-11 12:30:00
3261,2023-07-11,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - AIG Aviation,788143.18,Finance & Accounting,AIG Aviation,CC-FIN-710,CFO,Approved,2023-07-11 12:30:00
3262,2023-07-11,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,2346866.56,Finance & Accounting,Fixed Asset Register,CC-FIN-720,Controller,Approved,2023-07-11 10:15:00
3263,2023-07-11,General & Admin,IT & Communications,IT & Communications - SITA,402919.3,Corporate Services,SITA,CC-COR-810,Director Procurement,Approved,2023-07-11 16:20:00
3264,2023-07-11,General & Admin,Utilities & Facilities,Utilities & Facilities - ConEdison,303956.67,Corporate Services,ConEdison,CC-COR-810,Director Procurement,Approved,2023-07-11 10:15:00
3265,2023-07-12,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,4261077.09,Flight Operations,Chevron Aviation,CC-FLT-110,Chief Pilot,Approved,2023-07-12 14:45:00
3266,2023-07-12,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,7964718.43,Flight Operations,World Fuel Services,CC-FLT-110,VP Flight Ops,Approved,2023-07-12 14:45:00
3267,2023-07-12,Fuel,Into-Plane Services,Into-Plane Services - Signature Aviation,1667153.93,Flight Operations,Signature Aviation,CC-FLT-110,VP Flight Ops,Approved,2023-07-12 12:30:00
3268,2023-07-12,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,6528654.47,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Approved,2023-07-12 12:30:00
3269,2023-07-12,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,5913753.43,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Paid,2023-07-12 16:20:00
3270,2023-07-12,Maintenance,Line Maintenance,Line Maintenance - Delta TechOps,2207575.55,Maintenance & Engineering,Delta TechOps,CC-MNT-310,VP Maintenance,Approved,2023-07-12 14:45:00
3271,2023-07-12,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - Pratt & Whitney Services,1598589.19,Maintenance & Engineering,Pratt & Whitney Services,CC-MNT-310,Director Engineering,Approved,2023-07-12 16:20:00
3272,2023-07-12,Airport Operations,Landing Fees,Landing Fees - Denver DEN,2353388.98,Airport Operations,Denver DEN,CC-AIR-410,Director Stations,Paid,2023-07-12 12:30:00
3273,2023-07-12,Airport Operations,Ground Handling,Ground Handling - Menzies Aviation,915206.83,Airport Operations,Menzies Aviation,CC-AIR-410,Director Stations,Approved,2023-07-12 12:30:00
3274,2023-07-12,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - SMBC Aviation Capital,3556954.55,Fleet Management,SMBC Aviation Capital,CC-FLT-120,VP Fleet,Paid,2023-07-12 16:20:00
3275,2023-07-12,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Travelport,1067237.43,Commercial & Marketing,Travelport,CC-COM-510,Chief Commercial Officer,Paid,2023-07-12 12:30:00
3276,2023-07-12,Sales & Distribution,Credit Card Processing,Credit Card Processing - American Express Merchant,654113.27,Commercial & Marketing,American Express Merchant,CC-COM-510,Chief Commercial Officer,Paid,2023-07-12 12:30:00
3277,2023-07-12,In-flight Services,Catering,Catering - LSG Sky Chefs,1274253.95,Customer Experience,LSG Sky Chefs,CC-CAB-610,Cabin Services Director,Approved,2023-07-12 16:20:00
3278,2023-07-12,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - Allianz Global Corporate & Specialty,843941.3,Finance & Accounting,Allianz Global Corporate & Specialty,CC-FIN-710,Controller,Approved,2023-07-12 16:20:00
3279,2023-07-12,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,2277388.84,Finance & Accounting,Fixed Asset Register,CC-FIN-720,CFO,Approved,2023-07-12 16:20:00
3280,2023-07-12,General & Admin,IT & Communications,IT & Communications - AT&T Business,400698.35,Corporate Services,AT&T Business,CC-COR-810,Director Procurement,Approved,2023-07-12 10:15:00
3281,2023-07-12,General & Admin,Utilities & Facilities,Utilities & Facilities - ConEdison,302281.22,Corporate Services,ConEdison,CC-COR-810,Director Procurement,Paid,2023-07-12 14:45:00
3282,2023-07-13,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,7356030.53,Flight Operations,Chevron Aviation,CC-FLT-110,Chief Pilot,Pending,2023-07-13 12:30:00
